,,,,,,,,,,,,,,,,,,,
id,Match #,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,Result Type,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
289,55,2011,Chennai,"May 12, 2011",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",AM Saheba,SL Shastri,
290,56,2011,Indore,"May 13, 2011",Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,6,KD Karthik,Holkar Cricket Stadium,S Asnani,RJ Tucker,
291,57,2011,Bangalore,"May 14, 2011",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Win By Wickets,Royal Challengers Bangalore,0,4,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
292,58,2011,Mumbai,"May 14, 2011",Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,10,0,A Mishra,Wankhede Stadium,S Ravi,SK Tarapore,
293,59,2011,Dharamsala,"May 15, 2011",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Kings XI Punjab,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,SL Shastri,
294,60,2011,Indore,"May 15, 2011",Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Win By Wickets,Kochi Tuskers Kerala,0,8,BJ Hodge,Holkar Cricket Stadium,PR Reiffel,RJ Tucker,
295,61,2011,Mumbai,"May 16, 2011",Pune Warriors,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Wickets,Deccan Chargers,0,6,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore,
296,62,2011,Dharamsala,"May 17, 2011",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Win By Runs,Kings XI Punjab,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
297,63,2011,Chennai,"May 18, 2011",Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,11,0,WP Saha,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RE Koertzen,
298,64,2011,Mumbai,"May 19, 2011",Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,7,YK Pathan,Dr DY Patil Sports Academy,S Ravi,SJA Taufel,
299,65,2011,Mumbai,"May 20, 2011",Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Win By Wickets,Rajasthan Royals,0,10,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,
300,66,2011,Dharamsala,"May 21, 2011",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Deccan Chargers,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
301,67,2011,Delhi,"May 21, 2011",Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,no result,0,Win By Wickets,,0,0,,Feroz Shah Kotla,SS Hazare,RJ Tucker,
302,68,2011,Bangalore,"May 22, 2011",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium,K Hariharan,RE Koertzen,
303,69,2011,Kolkata,"May 22, 2011",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,5,JEC Franklin,Eden Gardens,SK Tarapore,SJA Taufel,
304,70,2011,Mumbai,"May 24, 2011",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,6,SK Raina,Wankhede Stadium,Asad Rauf,SJA Taufel,
305,71,2011,Mumbai,"May 25, 2011",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,4,MM Patel,Wankhede Stadium,Asad Rauf,SJA Taufel,
306,72,2011,Chennai,"May 27, 2011",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Royal Challengers Bangalore,43,0,CH Gayle,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
307,73,2011,Chennai,"May 28, 2011",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
308,1,2012,Chennai,"April 4, 2012",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,8,RE Levi,"MA Chidambaram Stadium, Chepauk",JD Cloete,SJA Taufel,
309,2,2012,Kolkata,"April 5, 2012",Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,8,IK Pathan,Eden Gardens,S Asnani,HDPK Dharmasena,
310,3,2012,Mumbai,"April 6, 2012",Pune Warriors,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Pune Warriors,28,0,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel,
311,4,2012,Jaipur,"April 6, 2012",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Rajasthan Royals,31,0,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
312,5,2012,Bangalore,"April 7, 2012",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Royal Challengers Bangalore,20,0,AB de Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,
313,6,2012,Visakhapatnam,"April 7, 2012",Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Chennai Super Kings,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,JD Cloete,HDPK Dharmasena,
314,7,2012,Jaipur,"April 8, 2012",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Rajasthan Royals,22,0,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,
315,8,2012,Pune,"April 8, 2012",Pune Warriors,Kings XI Punjab,Pune Warriors,bat,normal,0,Win By Runs,Pune Warriors,22,0,MN Samuels,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
316,9,2012,Visakhapatnam,"April 9, 2012",Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Win By Wickets,Mumbai Indians,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary,JD Cloete,
317,10,2012,Bangalore,"April 10, 2012",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Kolkata Knight Riders,42,0,L Balaji,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
318,11,2012,Delhi,"April 10, 2012",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,SK Tarapore,
319,12,2012,Mumbai,"April 11, 2012",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Mumbai Indians,27,0,KA Pollard,Wankhede Stadium,Aleem Dar,BNJ Oxenford,
320,13,2012,Chennai,"April 12, 2012",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Win By Wickets,Chennai Super Kings,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker,
321,14,2012,Chandigarh,"April 12, 2012",Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,SK Tarapore,
322,15,2012,Kolkata,"April 13, 2012",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,
323,16,2012,Delhi,"April 19, 2012",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Win By Wickets,Delhi Daredevils,0,5,KP Pietersen,Feroz Shah Kotla,BF Bowden,SK Tarapore,
324,17,2012,Pune,"April 14, 2012",Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,Win By Wickets,Pune Warriors,0,7,JD Ryder,Subrata Roy Sahara Stadium,Aleem Dar,BNJ Oxenford,
325,18,2012,Kolkata,"April 15, 2012",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Kings XI Punjab,2,0,SP Narine,Eden Gardens,Asad Rauf,S Asnani,
326,19,2012,Bangalore,"April 15, 2012",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,59,0,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker,
327,20,2012,Mumbai,"April 16, 2012",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,7,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore,
328,21,2012,Jaipur,"April 17, 2012",Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Win By Wickets,Rajasthan Royals,0,5,BJ Hodge,Sawai Mansingh Stadium,Aleem Dar,BNJ Oxenford,
329,22,2012,Bangalore,"April 17, 2012",Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,6,CH Gayle,M Chinnaswamy Stadium,S Asnani,S Das,
330,23,2012,Chandigarh,"April 18, 2012",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,
331,24,2012,Hyderabad,"May 10, 2012",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Win By Wickets,Delhi Daredevils,0,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal",JD Cloete,SJA Taufel,
332,25,2012,Chennai,"April 19, 2012",Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Win By Runs,Chennai Super Kings,13,0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk",Asad Rauf,S Das,
333,26,2012,Chandigarh,"April 20, 2012",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,RJ Tucker,
334,27,2012,Chennai,"April 21, 2012",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Win By Wickets,Chennai Super Kings,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,
335,28,2012,Delhi,"April 21, 2012",Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Pune Warriors,20,0,SC Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,
336,29,2012,Mumbai,"April 22, 2012",Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Win By Wickets,Kings XI Punjab,0,6,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker,
337,30,2012,Cuttack,"April 22, 2012",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,5,B Lee,Barabati Stadium,BF Bowden,SK Tarapore,
338,31,2012,Jaipur,"April 23, 2012",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Royal Challengers Bangalore,46,0,AB de Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,
339,32,2012,Pune,"April 24, 2012",Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,0,Win By Wickets,Delhi Daredevils,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
340,33,2012,Chandigarh,"April 25, 2012",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Win By Wickets,Mumbai Indians,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,BNJ Oxenford,
341,34,2012,Pune,"April 26, 2012",Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,18,0,CL White,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
342,35,2012,Delhi,"April 27, 2012",Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Delhi Daredevils,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,BNJ Oxenford,
343,36,2012,Chennai,"April 28, 2012",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Win By Runs,Kings XI Punjab,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,
344,37,2012,Kolkata,"April 28, 2012",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,47,0,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove,
345,38,2012,Delhi,"April 29, 2012",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Win By Runs,Delhi Daredevils,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,
346,39,2012,Mumbai,"April 29, 2012",Deccan Chargers,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,5,DW Steyn,Wankhede Stadium,AK Chaudhary,BNJ Oxenford,
347,40,2012,Chennai,"April 30, 2012",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin,
348,41,2012,Cuttack,"May 1, 2012",Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,13,0,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary,
349,42,2012,Jaipur,"May 1, 2012",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Win By Wickets,Delhi Daredevils,0,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,
350,43,2012,Bangalore,"May 2, 2012",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,4,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin,
351,44,2012,Pune,"May 3, 2012",Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,1,0,SL Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
352,45,2012,Chennai,"May 4, 2012",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford,
353,46,2012,Kolkata,"May 5, 2012",Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,7,0,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,
354,47,2012,Chandigarh,"May 5, 2012",Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel,
355,48,2012,Mumbai,"May 6, 2012",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,2,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
356,49,2012,Bangalore,"May 6, 2012",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,5,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
357,50,2012,Delhi,"May 7, 2012",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,6,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi,
358,51,2012,Pune,"May 8, 2012",Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,Win By Wickets,Rajasthan Royals,0,7,SR Watson,Subrata Roy Sahara Stadium,Asad Rauf,BR Doctrove,
359,52,2012,Hyderabad,"May 8, 2012",Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Kings XI Punjab,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,BNJ Oxenford,
360,53,2012,Mumbai,"May 9, 2012",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,9,CH Gayle,Wankhede Stadium,BF Bowden,VA Kulkarni,
361,54,2012,Jaipur,"May 10, 2012",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,4,BW Hilfenhaus,Sawai Mansingh Stadium,BNJ Oxenford,C Shamshuddin,
362,55,2012,Pune,"May 11, 2012",Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Win By Runs,Royal Challengers Bangalore,35,0,CH Gayle,Subrata Roy Sahara Stadium,BF Bowden,SK Tarapore,
363,56,2012,Kolkata,"May 12, 2012",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,27,0,RG Sharma,Eden Gardens,S Ravi,SJA Taufel,
364,57,2012,Chennai,"May 12, 2012",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",S Das,BR Doctrove,
365,58,2012,Jaipur,"May 13, 2012",Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,45,0,A Chandila,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
366,59,2012,Chandigarh,"May 13, 2012",Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,normal,0,Win By Wickets,Kings XI Punjab,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,BNJ Oxenford,
367,60,2012,Bangalore,"May 14, 2012",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,5,AT Rayudu,M Chinnaswamy Stadium,S Das,BR Doctrove,
368,61,2012,Kolkata,"May 14, 2012",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,5,MEK Hussey,Eden Gardens,JD Cloete,SJA Taufel,
369,62,2012,Delhi,"May 15, 2012",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,normal,0,Win By Wickets,Delhi Daredevils,0,5,UT Yadav,Feroz Shah Kotla,HDPK Dharmasena,BNJ Oxenford,
370,63,2012,Mumbai,"May 16, 2012",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Kolkata Knight Riders,32,0,SP Narine,Wankhede Stadium,S Das,BR Doctrove,
371,64,2012,Dharamsala,"May 17, 2012",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,VA Kulkarni,SK Tarapore,
372,65,2012,Delhi,"May 17, 2012",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Royal Challengers Bangalore,21,0,CH Gayle,Feroz Shah Kotla,HDPK Dharmasena,C Shamshuddin,
373,66,2012,Hyderabad,"May 18, 2012",Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,0,Win By Wickets,Deccan Chargers,0,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
374,67,2012,Dharamsala,"May 19, 2012",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium,BF Bowden,VA Kulkarni,
375,68,2012,Pune,"May 19, 2012",Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,S Asnani,BR Doctrove,
376,69,2012,Hyderabad,"May 20, 2012",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Deccan Chargers,9,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
377,70,2012,Jaipur,"May 20, 2012",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Win By Wickets,Mumbai Indians,0,10,DR Smith,Sawai Mansingh Stadium,HDPK Dharmasena,C Shamshuddin,
378,71,2012,Pune,"May 22, 2012",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,18,0,YK Pathan,Subrata Roy Sahara Stadium,BR Doctrove,SJA Taufel,
379,72,2012,Bangalore,"May 23, 2012",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Chennai Super Kings,38,0,MS Dhoni,M Chinnaswamy Stadium,BF Bowden,HDPK Dharmasena,
380,73,2012,Chennai,"May 25, 2012",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Chennai Super Kings,86,0,M Vijay,"MA Chidambaram Stadium, Chepauk",BR Doctrove,SJA Taufel,
381,74,2012,Chennai,"May 27, 2012",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,5,MS Bisla,"MA Chidambaram Stadium, Chepauk",BF Bowden,SJA Taufel,
382,1,2013,Kolkata,"April 3, 2013",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,6,SP Narine,Eden Gardens,S Ravi,SJA Taufel,
383,2,2013,Bangalore,"April 4, 2013",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Royal Challengers Bangalore,2,0,CH Gayle,M Chinnaswamy Stadium,VA Kulkarni,C Shamshuddin,
384,3,2013,Hyderabad,"April 5, 2013",Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,Win By Runs,Sunrisers Hyderabad,22,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
385,4,2013,Delhi,"April 6, 2013",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,5,0,R Dravid,Feroz Shah Kotla,S Das,C Shamshuddin,
386,5,2013,Chennai,"April 6, 2013",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,9,0,KA Pollard,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,
387,6,2013,Pune,"April 7, 2013",Pune Warriors,Kings XI Punjab,Pune Warriors,bat,normal,0,Win By Wickets,Kings XI Punjab,0,8,M Vohra,Subrata Roy Sahara Stadium,S Asnani,SJA Taufel,
388,7,2013,Hyderabad,"April 7, 2013",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Win By Wickets,Sunrisers Hyderabad,0,0,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,S Ravi,
389,8,2013,Jaipur,"April 8, 2013",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Rajasthan Royals,19,0,SK Trivedi,Sawai Mansingh Stadium,Aleem Dar,S Das,
390,9,2013,Mumbai,"April 9, 2013",Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,44,0,KD Karthik,Wankhede Stadium,M Erasmus,VA Kulkarni,
391,10,2013,Chandigarh,"April 10, 2013",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,10,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,C Shamshuddin,
392,11,2013,Bangalore,"April 11, 2013",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium,Asad Rauf,AK Chaudhary,
393,12,2013,Pune,"April 11, 2013",Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,0,Win By Wickets,Pune Warriors,0,7,AJ Finch,Subrata Roy Sahara Stadium,M Erasmus,K Srinath,
394,13,2013,Delhi,"April 12, 2013",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Win By Wickets,Sunrisers Hyderabad,0,3,A Mishra,Feroz Shah Kotla,Aleem Dar,Subroto Das,
395,14,2013,Mumbai,"April 13, 2013",Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,41,0,RG Sharma,Wankhede Stadium,S Ravi,SJA Taufel,
396,15,2013,Chennai,"April 13, 2013",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,4,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,
397,16,2013,Kolkata,"April 14, 2013",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,48,0,G Gambhir,Eden Gardens,M Erasmus,VA Kulkarni,
398,17,2013,Jaipur,"April 14, 2013",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,6,JP Faulkner,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,
399,18,2013,Chennai,"April 15, 2013",Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Win By Runs,Pune Warriors,24,0,SPD Smith,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,
400,19,2013,Chandigarh,"April 16, 2013",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Kings XI Punjab,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali",CK Nandan,SJA Taufel,
401,20,2013,Bangalore,"April 16, 2013",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,tie,0,Win By Wickets,Royal Challengers Bangalore,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,VA Kulkarni,
402,21,2013,Pune,"April 17, 2013",Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,Win By Runs,Sunrisers Hyderabad,11,0,A Mishra,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,
