,,,,,,,,,,,,,,,,,,,
id,Match #,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,Result Type,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
106,47,2008,Mumbai,"May 21, 2008",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Kings XI Punjab,1,0,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar,
107,48,2008,Chennai,"May 21, 2008",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Win By Runs,Royal Challengers Bangalore,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ Harper,I Shivram,
108,49,2008,Chandigarh,"May 23, 2008",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,6,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SJ Davis,
109,50,2008,Delhi,"May 24, 2008",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan,
110,51,2008,Chennai,"May 24, 2008",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri,
111,52,2008,Bangalore,"May 3, 2008",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Royal Challengers Bangalore,3,0,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri,
112,53,2008,Kolkata,"May 25, 2008",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram,
113,54,2008,Jaipur,"May 26, 2008",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,5,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan,
114,55,2008,Hyderabad,"May 27, 2008",Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Win By Wickets,Chennai Super Kings,0,7,SK Raina,"Rajiv Gandhi International Stadium, Uppal",BG Jerling,AM Saheba,
115,56,2008,Mumbai,"May 30, 2008",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Rajasthan Royals,105,0,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen,
116,57,2008,Mumbai,"May 31, 2008",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Win By Wickets,Chennai Super Kings,0,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper,
117,58,2008,Mumbai,"June 1, 2008",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,3,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen,
118,1,2009,Cape Town,"April 18, 2009",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Runs,Mumbai Indians,19,0,SR Tendulkar,Newlands,BR Doctrove,K Hariharan,
119,2,2009,Cape Town,"April 18, 2009",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Win By Runs,Royal Challengers Bangalore,75,0,R Dravid,Newlands,BR Doctrove,RB Tiffin,
120,3,2009,Cape Town,"April 19, 2009",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,1,Win By Wickets,Delhi Daredevils,0,10,DL Vettori,Newlands,MR Benson,SD Ranade,
121,4,2009,Cape Town,"April 19, 2009",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Deccan Chargers,0,8,RP Singh,Newlands,MR Benson,BR Doctrove,
122,5,2009,Port Elizabeth,"April 20, 2009",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,92,0,M Muralitharan,St George's Park,BG Jerling,SJA Taufel,
